m,A_R,K_R,zero_vals
0.3574805118143558,35.991985392993435,35.991985392993435,0.0
0.35958802021458325,35.14208893297285,36.835139314108105,0.0
0.3617079533247186,34.790156165321584,37.18081869586349,0.0
0.36384038439401506,34.52072270437313,37.44417327080315,0.0
0.36598538710356304,34.29423391767132,37.664755606955985,0.0
0.36814303556883604,34.095341552993595,37.85791190930165,0.0
0.3703134043422518,33.91616038961835,38.03152536921011,0.0
0.37249656841574796,33.75199802101063,38.19028638086658,0.0
0.37469260322337344,33.59979162937796,38.337255767100125,0.0
0.3769015846438947,33.45740990272374,38.47456286188103,0.0
0.3791235890034178,33.323298161570264,38.60376038380127,0.0
0.3813586930780254,33.1962805188903,38.72602227585775,0.0
0.3836069740964298,33.07544165308387,38.84226193231932,0.0
0.38586850974264125,32.9600522115056,38.953206795185395,0.0
0.3881433781586521,32.849519637724214,39.05944752697354,0.0
0.39043165794713697,32.74335456721067,39.161471614509125,0.0
0.3927334281741686,32.64114715847615,39.259687038158546,0.0
0.39504876837194985,32.542549986413945,39.35443937794215,0.0
0.3973777585415616,32.447265402114816,39.44602445400422,0.0
0.399720479155727,32.35503600992404,39.53469784914712,0.0
0.40207701116159233,32.26563737053078,39.620682205915905,0.0
0.4044474359835235,32.17887232464607,39.704172902504986,0.0
0.4068318355259198,32.09456651781957,39.785342528083184,0.0
0.4092302921760437,32.01256482917347,39.86434445393374,0.0
0.41164288880686767,31.932728490401015,39.94131571428214,0.0
0.41406970877993765,31.85493273819603,40.016379353681785,0.0
0.41651083594825344,31.779064884737597,40.08964635669745,0.0
0.4189663546591658,31.705022717620214,40.161217247592646,0.0
0.42143634975729144,31.632713163684134,40.231183426600715,0.0
0.4239209065874437,31.56205116499536,40.29962829373099,0.0
0.42642011099758237,31.492958727305293,40.366628200361085,0.0
0.42893404934177953,31.425364109327514,40.432253259575404,0.0
0.43146280848320323,31.359201128813485,40.496568040320824,0.0
0.4340064757971191,31.294408564662966,40.55963216498478,0.0
0.4365651391739091,31.23092963995811,40.621500826396456,0.0
0.4391388870221087,31.168711572390688,40.68222523718776,0.0
0.4417278082714613,31.107705182009024,40.74185302206561,0.0
0.44433199237599125,31.047864547340758,40.80042856154601,0.0
0.44695152931709453,30.989146702861376,40.857993294272454,0.0
0.4495865096066479,30.931511372027675,40.91458598418482,0.0
0.45223702429013646,30.8749207304844,40.970242956883254,0.0
0.4549031649497993,30.819339195893654,41.02499831002974,0.0
0.457585023707794,30.76473324027873,41.07888410056916,0.0
0.46028269322937976,30.711071222540852,41.1319305124324,0.0
0.462996266726119,30.658323238021865,41.184166006687306,0.0
0.46572583795909855,30.606460983483903,41.23561745661282,0.0
0.4684715012421686,30.55545763526533,41.286310269291306,0.0
0.47123335144520223,30.505287739296424,41.33626849562968,0.0
0.47401148399737286,30.45592711154432,41.38551492982696,0.0
0.47680599489045217,30.407352747598477,41.43407119958456,0.0
0.47961698068212594,30.359542740462594,41.48195784833869,0.0
0.48244453849933144,30.312476205762238,41.52919440991783,0.0
0.48528876604161275,30.266133213319772,41.575799476903626,0.0
0.4881497615844966,30.22049472470597,41.621790762970775,0.0
0.4910276239828883,30.17554253588773,41.667185160230844,0.0
0.49392245267448726,30.131259224741097,41.71199879142977,0.0
0.49683434768322277,30.087628102674348,41.75624705847483,0.0
0.4997634096227102,30.04463317014095,41.79994468668993,0.0
0.5027097396997275,30.00225907568832,41.843105765748064,0.0
0.5056734397177121,29.96049107796717,41.88574378760682,0.0
0.5086546120802783,29.919315010751475,41.92787168127432,0.0
0.511653359794756,29.87871725049667,41.969501845278856,0.0
0.5146697864757496,29.83868468621078,42.010646177721505,0.0
0.517703996348718,29.799204691544723,42.05131610398334,0.0
0.5207560942535763,29.760265098830665,42.091522602750445,0.0
0.5238261856483177,29.721854174888236,42.13127623004762,0.0
0.5269143766126584,29.683960598505276,42.170587141691364,0.0
0.5300207738517013,29.646573439413523,42.209465114199006,0.0
0.5331454846996247,29.609682138717286,42.247919564361574,0.0
0.5362886171233897,29.573276490457765,42.28595956747838,0.0
0.5394502797264713,29.53734662450359,42.32359387450113,0.0
0.5426305817526108,29.501882990507614,42.36083092798781,0.0
0.5458296330895906,29.46687634264543,42.39767887710666,0.0
0.5490475442730309,29.43231772570011,42.43414559175455,0.0
0.5522844264902093,29.398198461573557,42.47023867572986,0.0
0.5555403915839019,29.364510136912486,42.50596547916237,0.0
0.5588155520562488,29.331244591216727,42.541333110252225,0.0
0.5621100210726406,29.298393905838577,42.576348446246534,0.0
0.5654239124656288,29.265950393500944,42.61101814375582,0.0
0.5687573407388591,29.233906588491628,42.64534864865419,0.0
0.5721104210710274,29.20225523724295,42.67934620522686,0.0
0.57548326931986,29.170989289641792,42.71301686483538,0.0
0.5788760020261168,29.140101890692275,42.74636649430769,0.0
0.5822887364176176,29.109586372568504,42.7794007836163,0.0
0.5857215904132929,29.0794362472787,42.81212525329117,0.0
0.5891746826272585,29.04964519950602,42.84454526138595,0.0
0.5926481323729138,29.020207079971264,42.87666601013096,0.0
0.5961420596670641,28.991115899063153,42.90849255219468,0.0
0.5996565852340682,28.962365820765676,42.940029796645845,0.0
0.6031918305100087,28.933951156998106,42.97128251459092,0.0
0.6067479176468891,28.90586636210721,43.00225534455743,0.0
0.6103249695168533,28.878106027692098,43.03295279764368,0.0
0.6139231097164324,28.850664877666404,43.063379262348825,0.0
0.6175424625708142,28.82353776363556,43.09353900909861,0.0
0.6211831531381395,28.79671966030426,43.123436194873634,0.0
0.6248453072138231,28.770205661262796,43.15307486723502,0.0
