m,poisson,delta,neg_binom
0.014564132690429686,11.007071286439896,,11.487162858247757
0.016298226082658747,7.569310814142227,5.999999493360519,7.561830431222916
0.01823879108269928,6.382181495428085,4.499999433755875,6.286001950502396
0.020410411444242556,5.573558062314987,3.999999910593033,5.439374595880508
0.022840598010820258,4.965011030435562,3.500000387430191,4.815826565027237
0.025560137232757633,4.4894687831401825,2.99999937415123,4.333067685365677
0.028603481180654974,4.113601893186569,2.99999937415123,3.9563171565532684
0.03200918399622433,3.8188986480236053,2.499999850988388,3.6638133227825165
0.035820390309592484,3.593256324529648,2.499999850988388,3.4414373338222504
0.040085381810510884,3.4288443624973297,2.499999850988388,3.279998153448105
0.04485818889762725,3.318513184785843,2.499999850988388,3.1720273196697235
0.05019927515440478,3.256656974554062,2.499999850988388,3.11170294880867
0.05617630332286855,3.2377906143665314,2.499999850988388,3.093484789133072
0.06286499247880124,3.2567404210567474,2.499999850988388,3.112129122018814
0.07035007726738281,3.308720141649246,2.499999850988388,3.1631089746952057
0.0787263813512049,3.38924303650856,2.499999850988388,3.242277354001999
0.08810001866947365,3.4951411187648773,2.499999850988388,3.3461160957813263
0.09858973772637163,3.622818738222122,2.499999850988388,3.471764177083969
0.1103284259384916,3.769100457429886,2.499999850988388,3.6164067685604095
0.12346479309893986,3.9322488009929657,2.99999937415123,3.778206557035446
0.13816525528481985,4.109477251768112,2.99999937415123,3.9546482264995575
0.1546160430740912,4.298069328069687,2.99999937415123,4.143337160348892
0.17302556077943113,4.495229572057724,3.500000387430191,4.341580718755722
0.19362702658669495,4.69772145152092,3.500000387430191,4.546207934617996
0.21668142704416857,4.9021996557712555,3.500000387430191,4.753927141427994
0.24248082333111426,5.105265229940414,3.999999910593033,4.9613140523433685
0.2713520511905704,5.303814262151718,3.999999910593033,5.165136605501175
0.3036608613984433,5.4951779544353485,3.999999910593033,5.36259189248085
0.33981655322179827,5.677517503499985,4.499999433755875,5.551552027463913
0.38027715956461183,5.84937110543251,4.499999433755875,5.730675905942917
0.42555524948821954,6.010236591100693,5.000000447034836,5.898990482091904
0.476224421614812,6.159787625074387,5.000000447034836,6.056114286184311
0.532926570674674,6.298130005598068,5.000000447034836,6.202023476362228
0.5963800192523235,6.425534933805466,5.499999970197678,6.336844712495804
0.6673886177473424,6.542319804430008,5.499999970197678,6.46086111664772
0.746851927831371,6.648985296487808,5.499999970197678,6.574443727731705
0.8357766184088579,6.746005266904831,5.999999493360519,6.678048521280289
0.9352892184495536,6.833896785974503,5.999999493360519,6.772107630968094
1.046650388250088,6.913239508867264,5.999999493360519,6.857260316610336
1.171270889917937,6.98467418551445,5.999999493360519,6.934028118848801
1.310729459397437,7.048734277486801,6.500000506639481,7.003093510866165
1.4667928064469073,7.1061573922634125,6.500000506639481,7.065064460039139
