m,poisson,delta,neg_binom
0.00027999999999999987,0.00019147992134094238,7.450580596923828e-07,0.0007934868335723877
0.00032609816446007634,0.00041350722312927246,7.450580596923828e-07,0.00042244791984558105
0.0003797857602293966,0.0003851950168609619,7.450580596923828e-07,0.0004030764102935791
0.0004423122832102891,0.00017508864402770996,7.450580596923828e-07,0.00018700957298278809
0.0005151329416893595,9.462237358093262e-05,7.450580596923828e-07,4.693865776062012e-05
0.0005999425240636419,0.00013336539268493652,7.450580596923828e-07,0.0001348555088043213
0.0006987148424239247,0.0006847083568572998,7.450580596923828e-07,0.000683218240737915
0.0008137486699837623,0.0005222856998443604,7.450580596923828e-07,0.0005744397640228271
0.0009477212414769051,0.000537186861038208,7.450580596923828e-07,0.000537186861038208
0.0011037505616622977,0.00039264559745788574,7.450580596923828e-07,0.0004284083843231201
0.0012854679720709077,0.00023618340492248535,7.450580596923828e-07,0.00023618340492248535
0.001497102664873355,0.00014975666999816895,7.450580596923828e-07,0.00014975666999816895
0.001743580110798179,0.00017955899238586426,7.450580596923828e-07,0.0001512467861175537
0.0020306366918585107,0.000130385160446167,7.450580596923828e-07,0.000130385160446167
0.002364953206786937,4.246830940246582e-05,7.450580596923828e-07,8.568167686462402e-05
0.0027543103563113995,4.246830940246582e-05,7.450580596923828e-07,4.246830940246582e-05
0.0032077698269518777,4.246830940246582e-05,7.450580596923828e-07,4.246830940246582e-05
0.003735885187783663,7.37607479095459e-05,7.450580596923828e-07,0.00019147992134094238
0.004350947508463712,9.611248970031738e-05,7.450580596923828e-07,9.611248970031738e-05
0.00506727141490057,0.00014379620552062988,7.450580596923828e-07,0.00014379620552062988
0.005901528240071753,9.611248970031738e-05,7.450580596923828e-07,9.611248970031738e-05
0.006873134023559651,9.611248970031738e-05,7.450580596923828e-07,9.611248970031738e-05
0.008004701389896089,6.780028343200684e-05,7.450580596923828e-07,6.780028343200684e-05
0.009322565822486197,6.780028343200684e-05,7.450580596923828e-07,6.780028343200684e-05
0.010857398581324972,4.246830940246582e-05,7.450580596923828e-07,4.246830940246582e-05
0.012644920529219686,4.246830940246582e-05,7.450580596923828e-07,4.246830940246582e-05
0.014726733479721709,4.246830940246582e-05,7.450580596923828e-07,4.246830940246582e-05
0.01715128841510716,4.246830940246582e-05,7.450580596923828e-07,4.246830940246582e-05
0.019975013108185058,1.1175870895385742e-05,7.450580596923828e-07,1.1175870895385742e-05
0.023263625391589698,3.725290298461914e-06,7.450580596923828e-07,3.725290298461914e-06
0.027093662638872248,3.725290298461914e-06,7.450580596923828e-07,3.725290298461914e-06
0.03155426305370281,1.7136335372924805e-05,7.450580596923828e-07,1.7136335372924805e-05
0.03674924022393891,1.7136335372924805e-05,7.450580596923828e-07,1.7136335372924805e-05
0.04279949922260318,1.7136335372924805e-05,7.450580596923828e-07,1.7136335372924805e-05
0.0498458504867906,2.0116567611694336e-05,7.450580596923828e-07,2.0116567611694336e-05
